                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.93066,                0.76009,                 1.1767,                0.58998,                0.75029,                0.68257,                0.45662,                 1.2305,                0.90948,                 1.4571,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.0009,                0.84953,                 1.2138,                0.76383,                 0.7079,                0.73345,                0.49063,                 1.2346,                0.92419,                 1.4469,             0.00033967,             0.00033967,             0.00033967
                     79,                 0.9652,                0.74511,                 1.1747,                0.71937,                0.71641,                0.72596,                 0.4848,                 1.2386,                0.93511,                  1.454,             0.00032553,             0.00032553,             0.00032553
                     80,                0.96258,                0.76019,                 1.1782,                0.62872,                 0.7497,                 0.7148,                0.48319,                 1.2701,                0.91836,                  1.476,             0.00031138,             0.00031138,             0.00031138
                     81,                0.89653,                0.71612,                 1.1415,                0.53744,                0.76643,                 0.6992,                 0.4725,                 1.1303,                0.95236,                 1.3922,             0.00029723,             0.00029723,             0.00029723
                     82,                0.90332,                0.72604,                 1.1561,                0.55862,                0.73052,                0.69343,                0.45687,                 1.1703,                0.95194,                 1.4005,             0.00028308,             0.00028308,             0.00028308
                     83,                0.91236,                0.74338,                 1.1783,                0.60217,                0.63046,                0.68564,                0.46165,                 1.2381,                0.97877,                 1.4292,             0.00026894,             0.00026894,             0.00026894
                     84,                0.87251,                0.70486,                  1.136,                0.55184,                0.73312,                0.67709,                0.44164,                 1.1473,                0.96886,                 1.4211,             0.00025479,             0.00025479,             0.00025479
                     85,                0.90898,                0.77533,                 1.1885,                0.64064,                0.69456,                0.69428,                0.47426,                 1.2377,                 0.9764,                  1.489,             0.00024064,             0.00024064,             0.00024064
                     86,                0.87437,                0.70667,                 1.1592,                0.71594,                0.65986,                0.72008,                0.49686,                 1.1407,                0.96932,                 1.4119,              0.0002265,              0.0002265,              0.0002265
                     87,                0.86689,                0.68788,                 1.1303,                 0.6687,                0.72299,                 0.7062,                0.48845,                  1.117,                0.90988,                 1.4007,             0.00021235,             0.00021235,             0.00021235
                     88,                0.87474,                0.69487,                 1.1604,                0.65305,                0.71957,                0.69708,                0.46918,                  1.165,                0.90444,                 1.4189,              0.0001982,              0.0001982,              0.0001982
                     89,                0.84527,                0.70157,                 1.1392,                0.63508,                0.71589,                0.70442,                0.48676,                  1.148,                0.88982,                 1.3851,             0.00018406,             0.00018406,             0.00018406
                     90,                0.85288,                0.68893,                 1.1323,                0.63898,                0.72561,                0.70978,                0.50514,                 1.1908,                0.90899,                 1.4198,             0.00016991,             0.00016991,             0.00016991
                     91,                0.81434,                0.63071,                 1.1066,                0.68963,                0.69304,                0.71737,                0.50758,                 1.1329,                 0.9157,                 1.3825,             0.00015576,             0.00015576,             0.00015576
                     92,                0.85176,                0.69153,                 1.1142,                0.70087,                 0.6852,                0.71053,                0.50367,                 1.2069,                0.92766,                 1.4182,             0.00014161,             0.00014161,             0.00014161
                     93,                0.81741,                0.58784,                 1.1361,                0.70142,                0.71127,                 0.7119,                0.50411,                 1.1024,                0.88297,                 1.3929,             0.00012747,             0.00012747,             0.00012747
                     94,                0.75567,                0.61461,                 1.1094,                0.68167,                0.74228,                0.73459,                 0.5354,                 1.1035,                0.86295,                 1.4161,             0.00011332,             0.00011332,             0.00011332
                     95,                0.72879,                0.53353,                  1.069,                0.75422,                 0.7203,                0.76113,                0.55692,                 1.0987,                 0.8648,                 1.3898,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 0.8113,                 0.6177,                 1.0862,                0.75369,                0.66364,                0.72547,                0.51327,                 1.1054,                0.87734,                  1.394,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                  0.786,                0.73829,                 1.0911,                0.66058,                0.70518,                0.70522,                0.50788,                 1.0967,                 0.8508,                 1.3962,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.70998,                0.52379,                 1.0572,                0.66935,                0.71748,                0.70834,                0.51498,                 1.1087,                0.84307,                 1.3862,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.73089,                0.61498,                 1.0548,                0.69514,                0.71986,                0.71621,                0.52508,                 1.1101,                0.82055,                 1.3902,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.73738,                0.55295,                 1.0745,                0.71005,                0.72368,                0.71533,                0.51276,                 1.1216,                0.83256,                 1.3932,             2.8437e-05,             2.8437e-05,             2.8437e-05
